Id;Name;Code
4C1F2550-F353-4AE1-8DE2-AA4488398396;Plats de poisson/prod. aquatiques sans garniture;
41092E18-9117-4794-98B8-9C89180E142E;Plats de légumes/légumineuses;
5BF31375-7AFC-40FC-8392-3E370903B2E6;Plats de céréales/pâtes;
EB73537D-32D0-4D63-A550-B81621644ECD;Plats de fromage;
A830457D-664D-4097-B602-AB8B5D92EE82;Plats de viande/volaille et légumes/légumineuses;
1E0FFFC4-7181-4532-BB0A-EC4B56B3DE98;Plats de poisson/prod. aquatiques et féculents;
877D3062-25EE-47CA-BBB5-40D2B3C44A1F;Plats de viande/volaille et féculents;
CDB97077-37C8-4D2A-8520-2E73C649682E;Sandwichs;
5E843F94-4ADF-4A1A-997E-E6D8F93489EA;Soupes prêtes à consommer;
91366C40-A5AA-420A-BF78-224E4555ABD0;Bouillons prêts à consommer;
081B59F1-CAF2-4C4D-9421-F2C7419B8D0E;Soupes et bouillons non reconstitués;
C8CFB831-F2F9-4645-B2EE-B6B6493ADA75;Epices;
43A5629A-28BB-41EF-9665-8E8EC76AAC45;Aromates séchés;
118AFAD7-7A9A-41E1-A288-DB24C3B559B0;Aromates frais;
D5AA69CB-474C-4744-AB89-1C7ED9B0ABEE;Aides culinaires;
4E422EDA-2BE5-4498-966B-E2D6D53FF39B;Sauces salées;
F7E6C2AD-E6BC-4105-82A8-855A8C2F229B;Sels;
040EF66D-1866-4B2E-B20F-B4F5A38045E7;Sauces sucrées;
BBCBA660-8B81-47A6-A7D2-E1DC2D0F4D31;Condiments;
E9FA2D8E-E73A-467F-9142-E64EBA2627EC;Denrées destinées à une alimentation particulière;
1CC4AB9D-EEAA-4CF0-BEFF-AF65C9265D6E;Ingrédients divers;
3592ED97-41C5-4F40-91E2-367692BD3679;Compléments alimentaires;
943B0CEA-C25E-4986-BF1A-926DA4CECFA6;Glaces;
FA205126-42FA-4147-98C1-7CB0D514F888;Sorbets;
A6A7DCCB-BA3A-4CD1-9D88-F7F1A35C0A9A;Desserts glacés;
F562D17D-040E-40D6-B3BB-81E6D15444E8;Lait et boissons/desserts lactés infantiles;
2C080864-0AF8-43DE-9B64-04BB7959CF92;Petits pots et plats infantiles;
025F3A6C-E4A1-42E7-936B-7E6A8DCBAD75;Desserts fruités infantiles;
D67C6B77-E85A-4308-BC63-EEFE2CBB2B0F;Céréales et biscuits infantiles;
7D805CAC-2772-4344-BE01-0DFD34419A0E;Boissons infantiles non lactées;
F09C72B8-E9A0-4242-837A-2B3D66C9928E;Algues, séchées ou déshydratées;
C53A935B-4189-4835-B1EF-19062DC726B5;Algues, crues;
53F86A76-269B-4842-A649-A55ACB065F00;Pizzas, crêpes et tartes salées;
BE239E58-BB2B-462A-BD62-0EDABF9B460F;Boissons végétales type "laits" végétaux;
